Kecamatan;Sasaran;BelumVaksin;"Jumlah
Dosis1";"Jumlah
Dosis2";"Jumlah
Dosis3";"TotalVaksin
Diberikan";"Lansia
Dosis1";"Lansia
Dosis2";"Lansia
Dosis3";"LansiaTotal
VaksinDiberikan";"PelayanPublik
Dosis1";"PelayanPublik
Dosis2";"PelayanPublik
Dosis3";"PelayanPublikTotal
VaksinDiberikan";"GotongRoyong
Dosis1";"GotongRoyong
Dosis2";"GotongRoyong
Dosis3";"GotongRoyongTotal
VaksinDiberikan";"TenagaKesehatan
Dosis1";"TenagaKesehatan
Dosis2";"TenagaKesehatan
Dosis3";"TenagaKesehatanTotal
VaksinDiberikan";"Tahapan3
Dosis1";"Tahapan3
Dosis2";"Tahapan3
Dosis3";"Tahapan3Total
VaksinDiberikan";"Remaja
Dosis1";"Remaja
Dosis2";"Remaja
Dosis3";"RemajaTotal
VaksinDiberikan"
MampangPrapatan;128433;21325;107108;95962;36780;239850;8028;7409;7409;18821;24575;22792;6518;53885;1166;1143;572;2881;1256;1222;976;3454;59751;52108;24924;136783;12332;11288;406;24026
Matraman;154999;23975;131024;116892;51104;299020;12713;11820;11820;30616;26622;24588;7364;58574;1770;1718;919;4407;2347;2266;1840;6453;73274;63672;34276;171222;14298;12828;622;27748
Menteng;73752;12744;61008;53398;22597;137003;6520;5933;5933;15657;12348;11258;3134;26740;658;641;321;1620;1157;1126;915;3198;33849;28670;14762;77281;6476;5770;261;12507
Pademangan;135923;23209;112714;100569;45355;258638;10319;9707;9707;25777;21879;20308;6801;48988;922;900;500;2322;803;780;671;2254;65775;57227;31170;154172;13016;11647;462;25125
Palmerah;186632;29403;157229;140205;60128;357562;13893;13150;13150;34144;30179;27710;8076;65965;1624;1582;855;4061;2247;2161;1784;6192;90578;78617;41622;210817;18708;16985;690;36383
Pancoran;142268;23295;118973;107654;48291;274918;9968;9288;9288;24535;25077;23431;6573;55081;1609;1572;800;3981;1887;1831;1483;5201;67018;59199;33564;159781;13414;12333;592;26339
PasarMinggu;266638;40728;225910;206590;92266;524766;18464;17467;17467;46298;46268;43279;12139;101686;2797;2717;1389;6903;3778;3649;2974;10401;127858;114595;64360;306813;26745;24883;1037;52665
PasarRebo;187522;26935;160587;146232;69186;376005;12736;11984;11984;31304;34146;31796;10169;76111;2013;1975;981;4969;4133;4012;3253;11398;88468;78727;47307;214502;19091;17738;892;37721
Penjaringan;259380;44300;215080;193212;102415;510707;23972;22873;22873;62818;43323;40693;14197;98213;1773;1734;954;4461;1626;1589;1343;4558;121972;106376;68827;297175;22414;19947;1121;43482
Pesanggrahan;212090;34452;177638;162563;70181;410382;14545;13843;13843;36728;36326;33979;9325;79630;2116;2071;1083;5270;2656;2577;2120;7353;99901;89714;48490;238105;22094;20379;823;43296
PuloGadung;250436;37963;212473;194260;95362;502095;20708;19673;19673;52447;44371;41392;12862;98625;3230;3174;1718;8122;4355;4255;3501;12111;116552;104257;63947;284756;23257;21509;1268;46034
SawahBesar;104180;16399;87781;80324;39074;207179;11692;11250;11250;30218;15917;14939;4930;35786;805;793;448;2046;793;787;643;2223;49810;44561;25350;119721;8764;7994;427;17185
Senen;102381;17542;84839;74131;33363;192333;8800;8166;8166;21813;15662;14339;4446;34447;797;777;409;1983;1662;1595;1272;4529;48676;41121;21939;111736;9242;8133;450;17825
SetiaBudi;96032;14628;81404;74371;33139;188914;7911;7555;7555;19605;17322;16151;4492;37965;1101;1079;562;2742;1019;1009;834;2862;45297;40571;22780;108648;8754;8006;332;17092
TamanSari;107037;15641;91396;82470;42658;216524;12757;12203;12203;33426;16602;15354;5448;37404;794;785;457;2036;659;642;531;1832;51482;45288;27332;124102;9102;8198;424;17724
Tambora;221310;35149;186161;163828;77414;427403;19423;18349;18349;49818;32759;29584;10189;72532;1233;1207;738;3178;1003;965;821;2789;111542;95881;52772;260195;20201;17842;848;38891
TanahAbang;142258;27313;114945;99507;39248;253700;10162;9371;9371;24167;22485;20324;5610;48419;1160;1143;600;2903;1412;1363;1059;3834;66307;55492;26880;148679;13419;11814;465;25698
TanjungPriok;333750;49425;284325;257954;117036;659315;25250;24017;24017;62988;56271;52849;16349;125469;3669;3580;1582;8831;4135;3989;3321;11445;163805;145169;80669;389643;31195;28350;1394;60939
Tebet;196217;28176;168041;153920;67269;389230;16515;15650;15650;40753;34205;31951;8891;75047;2445;2399;1255;6099;2732;2667;2207;7606;93141;83768;45516;222425;19003;17485;812;37300
